uur,c_x,c_y,b_x,b_y,ster_x,ster_y
21,21810427532.463135,12982601561.577236,3148346272.749221,-29386181962.417416,483095462.4259655,180246224.20861545
22,23552616608.417507,9580037415.78235,-954062384.3358378,-29704860031.235153,526541536.4857205,181260036.90415087
23,24559065531.99046,5876308925.429692,-5029110395.400498,-29475411547.83084,571182578.692403,179611868.56408435
24,24778670509.815998,1984885736.1910706,-9003834288.31012,-28715840885.99536,616684534.7260509,175198324.70536602
25,24163141475.18226,-1969940908.6495,-12810920388.23123,-27453516035.554497,662741323.8045292,167951026.22649822
26,22668195355.894447,-5845682819.596289,-16389694158.266432,-25723645817.294334,709078446.4378932,157814083.9735774
27,20257913439.132713,-9472223347.99324,-19686736429.870934,-23567756110.01601,755448572.8716965,144717779.18955737
28,16914660146.74306,-12639983887.452652,-22656179501.589382,-21032242492.45332,801615006.2812028,128548266.96075054
29,12659109887.776579,-15086539604.095287,-25259744724.954556,-18167051256.619194,847315005.4742637,109115175.87879196
30,7588002942.909404,-16486611259.089836,-27466583099.398182,-15024518167.716846,892189287.1608007,86126353.66906834
31,1938783678.1389904,-16461495305.803043,-29252973709.043755,-11658376256.310894,935661165.3708816,59199418.31167075
32,-3821939151.808527,-14646655706.309124,-30601923142.642822,-8122930345.339445,976771219.4572124,27981446.036458235
33,-8946062927.582275,-10872903690.605837,-31502694157.244087,-4472383692.559006,1014078115.0161251,-7521171.2015424855
34,-12547923792.829216,-5431603457.155377,-31950285770.80417,-760277804.4915276,1045920737.0581113,-46457392.9555807
35,-14021381902.3577,857335511.8259401,-31944955713.85886,2961046815.343104,1071183833.7372105,-87009424.62610465
36,-13360434782.217796,7013205932.970695,-31492079962.449657,6640984815.141259,1089887896.5723343,-127073397.74520653
37,-11013663240.686647,12331558080.510918,-30602285040.344887,10230791950.159023,1102921765.0808356,-165065348.89556605
38,-7546042896.1411495,16485499624.115177,-29291042292.874878,13683418595.130993,1111417160.3060389,-200106879.5140625
39,-3444345867.068341,19405152735.64818,-27578056284.605648,16953678965.545818,1116386563.5405366,-231804058.33379754
40,925829597.8588471,21147355296.010536,-25486963928.576244,19998557914.652916,1118642281.0855646,-260009156.76332137
41,5301535737.280008,21817973386.394264,-23045206895.763508,22777467758.959297,1118829823.3038476,-284679023.09627783
42,9493220190.056282,21535207638.139324,-20283946842.888546,25252478758.394997,1117481307.276799,-305808830.02673733
43,13360394478.278122,20414909776.813675,-17237989529.27254,27388561103.34379,1115059840.3438811,-323406441.72710204
44,16794256057.036552,18566248979.37894,-13945709133.6345,29153859099.58698,1111991093.4221034,-337486038.5963544
45,19705832999.49401,16092010376.613361,-10448964837.875748,30520009397.474125,1108684653.9259515,-348070534.8545837
46,22017951118.982983,13091013306.047874,-6792998206.398138,31462511048.289093,1105548223.443917,-355198205.7732387
47,23659770180.18165,9661694028.768126,-3026296092.894764,31961152317.84942,1102996879.7600677,-358931793.4349698
48,24563133479.4238,5906663294.788418,799599752.84828,32000496068.29295,1101458685.0796435,-359369752.3001228
49,24660430464.301075,1938478884.4531298,4630358478.884527,31570421467.7009,1101377064.0873604,-356660063.8474092
50,23884169929.46462,-2112818771.927596,8409226235.307993,30666714391.507526,1103209441.702991,-351017585.3088903
51,22169185747.787586,-6089607795.812154,12077519433.128574,29291691842.683384,1107420284.3530452,-342746320.50739706
52,19459670147.189205,-9793143447.341808,15575272399.570456,27454836890.014156,1114464340.7500508,-332268095.16647536
53,15725569807.684914,-12966352783.242842,18842064630.600212,25173410127.500645,1124751578.3982131,-320157844.92474616
54,10996786492.18583,-15275937812.867483,21818047325.402443,22472992066.57803,1138578147.114281,-307179772.0450191
55,5427761329.268197,-16307116511.568985,24445178957.2886,19387899379.99231,1156000136.2922935,-294299477.53612834
56,-601276345.4857264,-15609265197.342016,26668664768.078693,15961408359.668554,1176638583.848741,-282601180.13942873
57,-6391551067.35824,-12861216150.119614,28438575232.792473,12245713529.402657,1199499078.6672032,-272982925.72791916
58,-11007039074.395073,-8166207955.776216,29711593405.430187,8301549977.171501,1223111290.536567,-265610948.31320146
59,-13675453727.668423,-2213737670.983489,30452809410.087406,4197415838.0095105,1246257222.3377278,-259616907.21175796
60,-14192534092.183603,4020488079.63021,30637445965.670998,8348819.517672539,1268705952.791773,-253643522.92238936
61,-12868816300.634892,9746105332.637497,30252377822.05179,-4185756636.131319,1291106649.6474836,-246703498.31276482
62,-10207993474.144913,14528624252.712952,29297307613.512596,-8302257078.953659,1314389072.5723329,-238481339.41880506
63,-6684928378.632366,18206935348.622467,27785470432.764736,-12258206194.557053,1339350444.1278725,-229167011.25503632
64,-2676093380.956508,20770613133.767178,25743761697.65272,-15973005397.351084,1366526540.4998329,-219214323.73876727
65,1536814075.655932,22277905423.21018,23212225561.766205,-19371087705.89149,1396201355.146395,-209174082.33443534
66,5744253041.779308,22812988338.271805,20242901052.78563,-22384444792.380005,1428455543.2533727,-199600503.02034026
67,9786970514.782084,22466445990.3993,16898089633.812521,-24954812921.59485,1463216880.1504288,-191002418.79257137
68,13539239873.004412,21327551747.8411,13248168345.838896,-27035365282.30061,1500303977.4203837,-183819126.5362458
69,16896850066.715178,19482255128.00817,9369115834.693129,-28591810974.423424,1539462931.144687,-178410228.28443155
70,19768586271.63044,17013976815.627647,5339937209.7639675,-29602864838.34528,1580398131.1444268,-175054338.6354304
71,22070093100.34502,14005976392.94726,1240166383.8023577,-30060115643.680553,1622798225.8260522,-173954220.68267122
72,23719359862.418205,10544918835.16473,-2852404539.8496284,-29967372450.225094,1666357766.032611,-175247193.08417788
73,24633421306.219704,6725771940.863255,-6863662179.886106,-29339603527.449745,1710794651.0427687,-179020380.47165883
74,24726255834.946938,2658556003.6359186,-10724716020.128805,-28201597069.22822,1755863063.2279294,-185331009.19836897
75,23908430672.996952,-1522140371.7360206,-14373034958.318567,-26586470172.843826,1801360791.99755,-194232689.9967476
76,22090088146.692272,-5643561737.772982,-17753196924.45079,-24534136863.85004,1847128131.1846156,-205809463.0663218
77,19190972086.21272,-9475655764.190409,-20817296484.224426,-22089822911.870667,1893031798.346662,-220219759.91862592
78,15165336129.997488,-12706322188.345253,-23525068301.963455,-19302689874.399353,1938919767.7783508,-237750080.44588688
79,10056400816.975174,-14917812866.62468,-25843787400.50113,-16224607034.569923,1984520352.2974997,-258865681.21575207
