uur,c_x,c_y,b_x,b_y,ster_x,ster_y
1312,24233763029.787956,-28621451954.110966,51353113388.818436,-29886882023.805126,29346052101.033253,-8939058354.23272
1313,19776196623.49312,-28523072053.478893,48489754704.79273,-32808074867.052883,29393648978.200607,-8929221079.105762
1314,15776179336.887047,-27499911797.224186,45297271252.71564,-35318880593.51003,29442334429.331676,-8923496123.521118
1315,12326290208.358482,-25733813435.122074,41837152180.872765,-37385437899.663284,29491577016.589367,-8921747183.274036
1316,9486765100.234869,-23373570298.472103,38173205101.46604,-38983651077.94221,29540891285.232346,-8923841531.702684
1317,7301714275.098368,-20544756190.565243,34369939694.91631,-40098913176.3546,29589817370.34601,-8929633534.542997
1318,5808156716.954269,-17358185669.40804,30491156939.297382,-40725570190.67499,29637912631.373817,-8938952207.087143
1319,5041289986.813189,-13917224780.807274,26598773684.69349,-40866204527.88758,29684748841.18142,-8951591949.958958
1320,5037667918.529489,-10324665033.906933,22751887974.73277,-40530810496.96359,29729911816.858356,-8967304723.251802
1321,5836998425.045729,-6690058817.030641,19006072381.438446,-39735923979.9861,29773002254.688957,-8985791639.40638
1322,7482576504.458328,-3138652016.968508,15412870652.103151,-38503755324.79852,29813637886.458603,-9006691594.461802
1323,10019509962.920746,176514434.6025896,12019466476.490442,-36861360972.3019,29851458692.361492,-9029563833.484243
1324,13488259287.213028,3057088595.385073,8868491111.52202,-34839876858.41051,29886139932.286015,-9053860177.81503
1325,17907289711.068794,5233676146.978809,5997937739.963343,-32473826142.011463,29917424610.614597,-9078881679.893179
1326,23229976236.64922,6330951758.305203,3441153500.5361586,-29800505800.374603,29945202922.065212,-9103717943.676495
1327,29243312161.255863,5837434052.977417,1226883733.1232595,-26859451205.4135,29969698613.50166,-9127194579.726671
1328,35361701124.22254,3157652330.613275,-620654245.2367868,-23691974705.497787,29991848472.696262,-9147972026.218212
1329,40389429798.440445,-2019729791.8674903,-2081689260.4537354,-20340773091.799328,30013739472.95165,-9165226091.15299
1330,42867736240.22789,-8952521389.914545,-3140824519.3391,-16849598702.896486,30037968906.133385,-9180067427.929827
1331,42362856251.40587,-15938422760.674818,-3786977433.3930655,-13262984646.44128,30065270906.60847,-9195371031.762682
1332,39667616138.54388,-21723958973.542244,-4013316012.8316545,-9626001888.73895,30094144659.34088,-9213181817.355408
1333,35768548690.234856,-25937705210.4573,-3817204531.210549,-5984028685.343344,30122757087.605625,-9233917788.864107
1334,31362411489.178604,-28654435897.0035,-3200183295.606542,-2382527158.603237,30149833510.790398,-9257174371.655672
1335,26873945819.0473,-30072729170.02825,-2167986604.0700893,1133179951.3742452,30174625030.412167,-9282319710.621645
1336,22558152366.446396,-30395423659.73401,-730593506.0915036,4518143827.880127,30196720393.18075,-9308716295.520267
1337,18573955016.447308,-29798860301.747013,1097694823.2954135,7728047935.032957,30215910725.413086,-9335779146.741018
1338,15027148064.525686,-28430722853.73463,3298157827.6582685,10719502638.94411,30232110976.990093,-9362981523.057453
1339,11994594582.450907,-26415413510.560135,5847546954.09173,13450388210.13887,30245315975.23524,-9389847030.501316
1340,9538171409.902878,-23860646623.41706,8717976963.662754,15880257658.30939,30255575370.25613,-9415939838.121798
1341,7713220169.544678,-20863751422.303196,11876831864.023476,17970809599.25571,30262978616.685837,-9440855840.888817
1342,6574037483.576909,-17517694131.49724,15286704009.200018,19686439243.632507,30267645215.807865,-9464214798.07465
1343,6177720707.92124,-13917367155.625576,18905388988.637157,20994872312.54896,30269717660.092274,-9485652466.26146
1344,6586957815.129589,-10167029491.018822,22685962919.225628,21867881868.355244,30269355839.446,-9504811097.921616
1345,7871727265.987804,-6390234644.489002,26576972146.23825,22282081333.52446,30266732796.01536,-9521325804.097292
1346,10108925792.34131,-2744353493.1324267,30522767360.24311,22219778036.543686,30262033449.09682,-9534802806.488668
1347,13376832113.856712,556974255.8928304,34464013617.00879,21669860236.552315,30255461802.0866,-9544783278.20829
1348,17735994573.1474,3208850711.6633654,38338403245.569176,20628676492.64757,30247271971.5674,-9550684039.536112
1349,23174792381.425915,4765308566.380588,42081588896.931595,19100848644.652187,30237863010.491566,-9551710555.919577
1350,29470109365.33582,4596942229.301403,45628342596.17935,17099936048.247469,30228028803.45235,-9546782774.982227
1351,35901864291.329414,1988597046.1035476,48913971196.149826,14648845849.818226,30219475714.805695,-9534717518.961142
1352,41024246956.468735,-3281635124.6344237,51876194458.34088,11780023079.443262,30215233045.858067,-9515296353.591011
1353,43419307595.064835,-10120774188.663134,54457368373.15832,8535961913.804359,30218251558.116272,-9490782398.08533
1354,43009254172.994545,-16820617940.594606,56605742925.077896,4969097910.265266,30228978288.38771,-9464630613.534632
1355,40644264284.601166,-22390214565.171646,58276900973.96334,1140328198.2935824,30246107528.025978,-9439024143.662464
1356,37166803921.98575,-26569041528.52617,59435620914.59568,-2882445929.265144,30268293809.52089,-9414841480.507593
1357,33155262169.409725,-29413162707.128315,60057393786.45401,-7025968547.486333,30294615335.534355,-9392409256.182472
1358,28975708347.34487,-31067259155.88351,60129461867.25572,-11213625552.375235,30324472525.17062,-9371910541.227678
1359,24862420010.448887,-31682962524.230946,59651338314.36235,-15367675850.471766,30357436597.871357,-9353522214.357302
1360,20972803334.159924,-31396110656.416798,58634782397.70089,-19411557947.250748,30393148532.328167,-9337443330.268522
1361,17420162439.80304,-30323754065.401173,57103243657.44932,-23272112274.697422,30431261953.74413,-9323887592.549656
1362,14293057588.1652,-28567092667.05772,55090833189.30353,-26881576919.284492,30471413505.237625,-9313066230.426363
1363,11667163322.728262,-26215919439.949673,52640918087.19692,-30179245903.86387,30513209249.110477,-9305170079.525478
1364,9613017140.821884,-23353393528.059017,49804458835.23365,-33112720097.03019,30556220148.074356,-9300353446.459719
1365,8201543851.488453,-20061125574.096764,46638216654.62923,-35638724515.18108,30599982407.807144,-9298719942.91267
1366,7508385184.237726,-16425084312.846601,43202949718.37153,-37723505698.03246,30644000086.07272,-9300309271.088017
1367,7617500202.083504,-12543273074.974216,39561697570.03232,-39342854135.825134,30687748527.672108,-9305082948.741196
1368,8623907537.094036,-8536759533.480092,35778227016.159325,-40481816994.20657,30730678432.86007,-9312905673.71351
1369,10634328173.794056,-4566707749.506066,31915685065.74747,-41134175553.12173,30772222578.71451,-9323517010.55697
1370,13761740268.059006,-861702760.1599154,28035479012.144653,-41301761526.69662,30811812424.039402,-9336485059.547081
1371,18102640723.107662,2238916295.4940166,24196382925.376293,-40993679431.322914,30848925246.930794,-9351131182.62384
1372,23667881960.019684,4224951389.5593033,20453854638.401325,-40225491427.084915,30883215581.00212,-9366424049.119469
1373,30205438777.646824,4377811304.527547,16859537550.89679,-39018409414.353745,30914844677.158276,-9380915223.231007
1374,36875802834.866425,1945605544.1551614,13460916540.92073,-37398528591.07262,30945080582.81489,-9393066258.72346
1375,42155470674.048386,-3145244775.994698,10301097903.129833,-35396125964.63983,30976477249.034607,-9402563902.256851
1376,44823327373.93703,-9698473954.354525,7418692548.394945,-33045028718.628067,31011057882.638668,-9411413652.745178
1377,44917626452.797745,-16199027920.783445,4847786310.732154,-30382036779.936268,31048551961.170406,-9422190904.821787
1378,43158775565.33096,-21795345378.224804,2617962526.084491,-27446399401.841938,31087458571.79397,-9436234245.858028
1379,40248614991.352585,-26214886255.6288,754343198.6620955,-24279360208.47524,31126337193.30659,-9453803758.114145
1380,36691975050.70057,-29449891842.23229,-722365303.9072049,-20923767719.06367,31164136194.221977,-9474662266.440039
1381,32828537478.4835,-31582723482.42516,-1795829120.1956375,-17423738582.679092,31200133877.598293,-9498399114.239979
1382,28889554180.637962,-32716081350.711693,-2454053035.5585966,-13824360948.200974,31233833782.531055,-9524560470.691706
1383,25039621330.319397,-32949137309.422504,-2689362151.7995424,-10171426549.811316,31264887611.128273,-9552694876.396557
1384,21403376456.101234,-32371168902.220215,-2498404021.3029323,-6511180348.66963,31293046053.77526,-9582366441.54598
1385,18082324416.532536,-31061558770.320457,-1882174295.9995036,-2890076374.677801,31318127939.144775,-9613156279.916178
1386,15165847203.935276,-29092104585.671295,-846066777.7747883,645471806.9915891,31340000243.24637,-9644659717.465433
1387,12738946507.786749,-26530329763.842846,600053533.624029,4049357640.2713923,31358564253.074158,-9676481756.908297
1388,10888262840.742113,-23443619120.486073,2441758186.9200387,7276076610.052809,31373745018.26577,-9708231189.584587
1389,9707305982.505077,-19904618515.9503,4659950152.839348,10281060789.628386,31385482331.393444,-9739512610.440437
1390,9301398985.666225,-15998916904.80164,7230754951.967159,13021063034.849615,31393722257.97707,-9769914519.227283
1391,9792301878.776438,-11836892402.398628,10125420342.894707,15454599313.828127,31398409206.390842,-9798990091.017506
1392,11321282537.970695,-7573091769.938672,13310240701.899336,17542454822.126976,31399480713.82826,-9826224441.341301
1393,14046071268.506065,-3438915839.2334085,16746527551.121962,19248255121.09674,31396873230.207855,-9850977757.797403
1394,18117681205.936348,203260032.2712221,20390657534.281116,20539099266.032864,31390564543.178524,-9872389303.133404
1395,23598573423.155228,2783048723.4372487,24194250785.50799,21386263692.025528,31380723505.58266,-9889239611.2411
1396,30241731283.047768,3478976762.166687,28104547340.793957,21766081758.962555,31368114864.288082,-9899876287.543386
1397,37112441884.07489,1468822824.1316545,32064831774.713383,21661229253.005306,31354793605.656143,-9902682782.12026
1398,42616164409.04127,-3231528015.4922657,36014543373.38814,21061832973.365093,31344052963.74281,-9897630417.986795
1399,45654063248.95023,-9385024404.98282,39889906081.602715,19965738071.12611,31338291745.452007,-9886985717.388107
1400,46299661174.27377,-15619220753.235092,43625229889.16536,18379110574.95961,31337760013.33307,-9873313489.355093
1401,45160469405.019775,-21165598102.831398,47154280275.7659,16317285433.359943,31341727194.348698,-9858119666.844427
1402,42829348683.775444,-25734522873.780487,50411786330.529724,13805372974.709698,31349484052.556305,-9842085244.50128
1403,39750448710.789276,-29266031006.44715,53335140838.556335,10878515965.644577,31360579707.537766,-9825526947.66687
1404,36238051239.45753,-31790352996.17834,55866239554.24668,7581757474.336655,31374776123.144165,-9808653428.41478
1405,32517028771.068604,-33367367592.832684,57953366243.89729,3969481900.286791,31391962502.60815,-9791673536.798557
1406,28754783243.415375,-34062729778.345856,59553008185.85147,104409092.7768135,31412085789.221024,-9774834399.821983
1407,25082914563.989418,-33939365830.767254,60631475771.78398,-3943845970.5956693,31435101238.6476,-9758428638.128927
1408,21611666218.956863,-33055314854.169025,61166202425.82348,-8100595398.6989355,31460938175.058914,-9742787648.57445
1409,18439917011.967144,-31464305220.146313,61146619379.72371,-12288190023.102062,31489476448.256676,-9728268149.37851
1410,15662618120.589458,-29217737749.012306,60574533041.598,-16428295711.553831,31520530516.782104,-9715235167.01378
1411,13376919740.99812,-26367787497.46239,59463976591.60508,-20444191238.722748,31553839031.017967,-9704042835.634539
1412,11687811700.007423,-22971954802.418034,57840555324.61632,-24262943718.97074,31589058282.871502,-9695013244.931948
1413,10713788122.766476,-19099999164.009174,55740349490.44052,-27817334301.54476,31625758208.100883,-9688412363.461138
1414,10592615353.550327,-14845077540.918848,53208472239.72126,-31047437685.082436,31663420222.526505,-9684420247.342941
1415,11486231595.701406,-10342424117.695581,50297399515.36612,-33901798151.481956,31701437996.389652,-9683089722.356316
1416,13580774442.688137,-5801366005.476331,47065192276.894264,-36338185512.52404,31739127837.06204,-9684282961.048538
1417,17069040282.250202,-1559060470.091618,43573721248.52671,-38323950641.28635,31775771424.819405,-9687570389.622229
1418,22080225993.080685,1840832345.1287074,39886984477.417595,-39836028102.17098,31810755132.109627,-9692085724.270487
1419,28482714564.88258,3591073983.559776,36069583310.71319,-40860651032.868774,31843942319.55627,-9696422487.533934
1420,35526496746.0746,2805720108.6056385,32185397700.781708,-41392850177.41949,31876339919.997025,-9698977561.125378
1421,41759289575.90242,-759002866.2843676,28296480464.199043,-41435802187.32072,31910259472.79916,-9699283168.440668
1422,45936565121.695404,-6190627330.501284,24462171409.93566,-41000072449.13935,31947645667.36217,-9698958452.142796
1423,47822977304.73089,-12198024968.482006,20738412792.74503,-40102794258.73981,31988603795.45787,-9700281661.27061
1424,47820417876.96942,-17909029606.00177,17177238246.666704,-38766845672.78474,32032088027.84176,-9704725425.537085
1425,46439739456.64802,-22905984723.613483,13826410045.777287,-37020068596.33275,32076876851.36,-9712895844.894293
1426,44106143121.80192,-27030461893.00521,10729180228.444063,-34894545399.462234,32121933028.73512,-9724896525.672693
1427,41139226932.56681,-30244412775.363472,7924150899.600653,-32425938322.39278,32166441177.43543,-9740588273.880346
1428,37776698829.12657,-32560447250.571793,5445209993.480506,-29652894519.764687,32209764457.54456,-9759721043.88428
1429,34200009029.478794,-34010241969.510883,3321520497.1495333,-26616517029.04623,32251397409.353874,-9781995247.925936
1430,30553905765.67959,-34630878179.220215,1577543471.3587234,-23359898718.73711,32290929788.36993,-9807089662.761808
1431,26960378459.30096,-34459363483.280334,233078124.8487618,-19927713214.388115,32328020640.934902,-9834673923.66269
1432,23528766462.41344,-33531005746.96344,-696694538.0676317,-16365854472.011213,32362379423.51643,-9864413635.640335
1433,20363576675.798412,-31879825560.200954,-1201174690.019619,-12721115205.610477,32393751382.06092,-9895971500.76605
1434,17571159417.639793,-29540411706.374832,-1274320372.3440769,-9040893652.449804,32421905115.445183,-9929005620.557005
1435,15266101060.835882,-26551349663.3561,-914642137.1675289,-5372917972.990552,32446620766.106384,-9963164796.681265
1436,13577978934.071835,-22961019550.511185,-125217082.762084,-1764977753.7474132,32467677657.045376,-9998079424.461523
1437,12658827435.092228,-18837503494.362362,1086279316.4114895,1735347588.0398545,32484840722.91184,-10033344833.284714
1438,12690841994.714931,-14285967818.251839,2707529054.6455383,5080973827.445258,32497846575.201584,-10068490934.048101
1439,13891218262.725122,-9479666550.807972,4721525859.857616,8225623963.975945,32506394854.852657,-10102926928.920929
1440,16502975480.492046,-4714294806.486588,7106542332.602497,11124197078.558987,32510165332.305855,-10135843334.319855
1441,20738784125.712147,-493140799.85594606,9836099011.44311,13733272733.932316,32508921582.14775,-10166058055.332113
1442,26603684332.875473,2391831345.7009673,12878793412.213066,16011841617.39356,32502838613.646683,-10191871285.100193
1443,33542263849.301163,2980257071.765624,16197861291.175724,17921961896.341816,32493155492.15005,-10211290954.836912
1444,40254367234.31393,776934505.8344893,19751085127.146385,19428951485.794037,32482515417.317326,-10223201151.828697
1445,45401682020.34594,-3634709401.6279216,23491226657.037716,20501836578.591137,32473661355.889442,-10228495014.303553
1446,48470151174.30031,-9103706389.065998,27366346100.2087,21114268245.269077,32467845241.905403,-10229138472.724506
1447,49633902191.29428,-14704836329.814629,31320074351.13724,21245527374.80642,32465077079.068363,-10226714574.93778
1448,49287549004.02412,-19910719891.57805,35292055811.610275,20881506864.465343,32464984038.35122,-10222112183.434366
1449,47811568829.18244,-24464842146.11775,39218625305.15904,20015664127.593285,32467238759.79758,-10215765509.332737
1450,45514688541.87462,-28255527428.587654,43033734830.92839,18649917536.653713,32471660062.095684,-10207891564.726131
1451,42637640282.23723,-31242225454.289593,46670136529.87803,16795434906.93101,32478199080.56444,-10198630602.108706
1452,39369712943.61659,-33417831729.892815,50060816043.61529,14473245345.776926,32486900360.23859,-10188119126.847658
1453,35864389719.143456,-34790171051.98804,53140650533.82852,11714597097.544085,32497863314.327415,-10176526112.488394
1454,32251650848.1305,-35373084579.175896,55848239982.60304,8560984110.072479,32511208809.82422,-10164069578.028513
1455,28647415103.93693,-35182381632.36626,58127832417.59418,5063774585.019278,32527050473.529438,-10151021866.434793
1456,25161084924.927944,-34234434109.6988,59931237841.699615,1283396844.3996987,32545469558.25161,-10137707456.32459
1457,21902087757.673397,-32546482761.190765,61219607042.75825,-2711929155.4534445,32566492451.40128,-10124494953.171509
1458,18986167169.29521,-30138476808.24672,61964945091.58411,-6847885377.714119,32590070201.67993,-10111783760.801764
1459,16542067959.477518,-27036875510.192215,62151238743.731255,-11046101490.745335,32616059585.782825,-10099985070.97633
1460,14719124062.64735,-23281592041.33248,61775102993.665375,-15226440853.27097,32644205333.787502,-10089495653.830116
1461,13695860743.027102,-18938481631.14882,60845892136.925354,-19309386875.35577,32674123628.49102,-10080660844.360735
1462,13688351261.623524,-14121898474.402308,59385269127.48173,-23218378893.824142,32705289236.27742,-10073719274.30049
1463,14952663216.353134,-9035116088.389832,57426276045.86722,-26881954568.467133,32737036455.179718,-10068715827.502205
1464,17762980538.250214,-4038638324.443345,55011990308.653725,-30235580895.907795,32768607309.816097,-10065365036.459412
1465,22317059364.905277,257147642.7850933,52193879882.045395,-33223093139.28344,32799335394.361996,-10062871931.738836
1466,28489278017.61626,2959711485.173314,49029983248.62086,-35797702760.45602,32829111539.746212,-10059866690.445208
1467,35486677676.97152,3187498330.949297,45583035996.11532,-37922572743.17477,32859028526.02886,-10054941307.464527
1468,41960089200.904816,771071939.8914819,41918647223.49004,-39570984099.028366,32891187042.416573,-10047940418.763716
1469,46850648623.97579,-3535432827.233187,38103602685.15723,-40726139103.29307,32927146008.36415,-10040352040.506794
1470,49857008636.73294,-8723927208.599794,34204352100.043877,-41380680113.22515,32967070651.312683,-10034076676.628576
1471,51156458610.28855,-14046734234.838003,30285720105.505795,-41536015490.130295,33010253886.01722,-10030483597.023405
1472,51066389535.65481,-19064253362.483463,26409854263.41084,-41201524202.192535,33055746212.40578,-10030327687.289394
1473,49893229499.707504,-23541239976.719784,22635402979.931538,-40393693929.12623,33102638864.575935,-10033945603.7917
1474,47893731463.23675,-27356869673.313217,19016904622.41146,-39135239255.87735,33150138720.14143,-10041426648.221006
1475,45275957254.88573,-30450713382.808434,15604361907.420046,-37454238632.309456,33197568985.138695,-10052717369.149437
1476,42209942585.54546,-32793376757.31572,12442971235.499,-35383319184.06905,33244351133.07054,-10067680440.816202
1477,38838768249.75103,-34370962444.64652,9572975151.285677,-32958908320.029816,33289985372.982796,-10086127682.326902
1478,35287972670.743416,-35176930235.19749,7029607306.326366,-30220561835.659203,33334033630.602196,-10107838997.920849
1479,31673377666.18707,-35207991224.57167,4843102432.312667,-27210370763.31859,33376105071.4549,-10132573422.734446
1480,28107925898.89939,-34462398335.521706,3038747974.037716,-23972443809.43129,33415843200.383568,-10160075309.858038
1481,24708212830.24721,-32939981377.97809,1636958471.1155193,-20552458622.160934,33452913390.41074,-10190076899.2668
1482,21601394665.56266,-30643958407.538033,653358137.7833097,-16997272927.502293,33486989670.7538,-10222297262.706549
1483,18933137563.759,-27585251526.916485,98861296.09892058,-13354585258.082998,33517739608.991585,-10256436343.292398
1484,16877141209.984068,-23791061463.425266,-20255511.52650751,-9672633871.971558,33544806341.424816,-10292160924.521545
1485,15646103104.10417,-19321244380.413086,297708152.1364686,-5999919916.7610035,33567788010.291367,-10329076082.000013
1486,15501483257.583046,-14299101619.110952,1049927305.0516512,-2384932528.595177,33586219475.62332,-10366670069.136524
1487,16751443631.696003,-8967110316.476294,2229075827.4196463,1124168983.6931577,33599575969.164455,-10404213503.117002
1488,19705060928.59812,-3775823567.578557,3823236735.047478,4479979313.853178,33607357980.247032,-10440598062.836948
1489,24513619623.565277,526525148.1958504,5815542263.905658,7636288851.703541,33609385773.023956,-10474173992.094908
1490,30851234464.92292,2974004582.5499034,8183817208.110595,10548190252.617216,33606389907.27418,-10502898086.631453
1491,37703863746.15917,2880470449.0486236,10900761356.266874,13172119123.474182,33600398893.97029,-10525250508.926003
1492,43821975176.826675,399235709.5900464,13934176737.481098,15466342918.253546,33593903860.777424,-10541268805.388947
1493,48442726818.3572,-3680041862.6585765,17246907063.32723,17391654839.419098,33588528346.565678,-10552177760.240969
1494,51398044640.717,-8527896700.004669,20796728129.24816,18912093805.205124,33584829820.32825,-10559294548.895317
1495,52834234390.89453,-13547707398.52459,24536338131.413326,19995707594.60668,33582816330.82447,-10563530877.182129
1496,52990844723.15493,-18368175369.604275,28413484711.890236,20615383427.60692,33582353188.056263,-10565411713.354536
1497,52105494454.445656,-22768888693.691414,32371249389.647266,20749747055.057014,33583336642.202244,-10565217707.353884
1498,50386177664.17966,-26619321475.818176,36348516793.19397,20384113561.76189,33585742155.42823,-10563103159.727507
1499,48009171517.296844,-29840378886.89897,40280660136.391495,19511457545.15232,33589624233.627205,-10559172565.626709
1500,45124653922.80431,-32381911448.789597,44100471992.5835,18133354804.872753,33595100613.791046,-10553527569.547085
1501,41863771789.38858,-34209804630.053333,47739360225.5929,16260832308.244768,33602332222.616505,-10546295740.009275
1502,38345369795.16004,-35298596858.28983,51128812642.80255,13915049636.250586,33611502183.507133,-10537648169.562883
1503,34682150061.4719,-35627361262.000435,54202110664.2043,11127726025.587164,33622794410.660954,-10527809568.579353
1504,30986551995.33498,-35177694761.15394,56896243243.71211,7941225724.703575,33636371543.482067,-10517062471.131186
1505,27376822701.611492,-33933370509.647568,59153940205.143974,4408223791.647247,33652351829.06023,-10505745913.969013
1506,23983836177.075333,-31881782057.674072,60925713547.44405,590896767.307076,33670784578.30946,-10494248025.979797
1507,20959264483.871433,-29017970109.93475,62171771901.85846,-3440382109.5491633,33691623875.6397,-10482990951.666069
1508,18485598564.25204,-25353052886.650402,62863663174.487076,-7608818146.447672,33714700476.040936,-10472404900.300276
1509,16787822107.278082,-20930675427.93625,62985508112.3418,-11833366310.225616,33739693057.344147,-10462885097.533949
1510,16143918887.64408,-15858067044.384312,62534714729.57044,-16031177816.33621,33766104668.451805,-10454720205.941341
1511,16883257311.00224,-10361742169.999344,61522107798.41845,-20120168274.395054,33793264945.726254,-10447974628.664875
1512,19341174331.433094,-4874469087.998286,59971462490.33173,-24021538824.46276,33820416525.48009,-10442313480.382235
1513,23704975095.136745,-120196142.86322594,57918487481.56649,-27662088492.418056,33847004745.338093,-10436832546.738617
1514,29714779047.527973,2959982723.692033,55409350246.750305,-30976181436.752403,33873237466.250053,-10430183141.549816
1515,36466385025.91621,3653395116.136366,52498867358.44788,-33907269900.767483,33900458898.66022,-10421384090.87649
1516,42788387228.61987,1985007765.5330462,49248494532.73598,-36408918730.43121,33930466592.39834,-10410753913.180323
1517,47880712187.06303,-1406504521.6958547,45724254682.07382,-38445332652.58442,33964347143.004425,-10399679391.729242
1518,51470656880.81212,-5770911702.859474,41994734990.27945,-39991437030.60884,34002200458.714767,-10389689924.020922
1519,53605863927.14634,-10522002922.217161,38129254183.011856,-41032584904.63342,34043531943.144016,-10381951517.168982
1520,54456863279.11631,-15266104107.586964,34196263699.81749,-41563969982.23527,34087625679.71225,-10377217691.549084
1521,54218094985.25876,-19751101222.33493,30262015523.61438,-41589828609.315865,34133734607.59195,-10375928084.88348
1522,53071559985.84004,-23815155871.10179,26389504338.244156,-41122511606.5557,34181153700.502445,-10378308386.873919
1523,51178018689.35232,-27351111755.0616,22637671408.637688,-40181497941.23767,34229240854.91078,-10384441706.050589
1524,48678367563.69162,-30284212046.44308,19060843041.979874,-38792408526.941925,34277417649.33859,-10394315411.561363
1525,45698211662.691734,-32558529053.837208,15708368145.139414,-36986063012.1724,34325163046.95367,-10407851670.964727
1526,42353190778.04933,-34128718346.258873,12624416485.181723,-34797607745.407074,34372004766.53039,-10424927760.41011
1527,38754423123.88067,-34955040802.79055,9847900321.064707,-32265730656.86316,34417509712.8231,-10445389843.82749
1528,35014142926.10066,-35000543182.39368,7412485596.8378315,-29431969084.46295,34461273524.065674,-10469062229.743237
1529,31251923560.364403,-34229956755.118664,5346663689.169954,-26340109483.836212,34502908685.26233,-10495752923.454329
1530,27602066878.712807,-32610462141.27924,3673860024.14223,-23035673081.842525,34542030276.48978,-10525255236.476477
1531,24222870795.232475,-30115207134.547974,2412561331.888321,-19565478272.675247,34578238151.274574,-10557343873.450613
1532,21308441219.851414,-26731676517.841805,1576448733.7133148,-15977268027.29787,34611094392.981865,-10591761698.087767
1533,19102950554.57266,-22479190163.944862,1174528739.6392288,-12319386898.432873,34640096275.87086,-10628189389.90884
1534,17914063170.435432,-17443437252.578342,1211254780.1460247,-8640482681.729746,34664650816.475044,-10666183568.593344
1535,18112180734.24117,-11839841923.034904,1686609631.904961,-4989186092.3595085,34684075680.28641,-10705061927.726326
1536,20077484506.28294,-6111158872.769326,2596032893.093052,-1413722435.0811906,34697697177.74045,-10743725701.71206
1537,24024506913.184494,-1010813026.5129652,3930062932.3408403,2038392307.637413,34705175578.46456,-10780507902.669292
1538,29693978087.360596,2508732199.093067,5674115913.60429,5320291675.561728,34707074156.36301,-10813378642.062807
1539,36212143494.13193,3760471845.361293,7808784737.560006,8385799034.650299,34705116631.259926,-10840801165.897789
1540,42492894046.607254,2745785665.785162,10310001445.629206,11189878153.688702,34701445323.05183,-10862513707.030027
1541,47778848528.45494,-1321444.4876117706,13148893174.29673,13689171358.90825,34697625095.78892,-10879245668.884047
1542,51758423413.077545,-3832400449.601473,16291588980.337936,15842539469.819523,34694428799.558266,-10891950329.027044
1543,54405860526.07797,-8213114873.671067,19699085405.410107,17611653760.07378,34692132795.75882,-10901387215.74788
1544,55822946200.18997,-12760519047.79145,23327192277.15139,18961670936.21903,34690808895.04313,-10908057387.178432
1545,56151957231.26476,-17211653129.813232,27126574812.39223,19862001783.95379,34690484500.36836,-10912265803.511248
1546,55538327959.95844,-21385314374.667297,31042918036.723648,20287172545.193302,34691210424.97903,-10914196815.652252
1547,54117794480.80082,-25152933358.28959,35017247851.28127,20217767605.46523,34693082693.89748,-10913973355.9163
1548,52014036646.497086,-28418968332.028316,38986447573.65841,19641429753.829185,34696243856.86115,-10911698930.207298
1549,49340498511.99175,-31108174555.18022,42884008883.19486,18553879526.354805,34700875227.14165,-10907487055.596209
1550,46203820900.50472,-33157376256.76938,46641050791.69413,16959898476.302162,34707184577.16615,-10901482190.4556
1551,42707995028.26453,-34510150088.95886,50187628240.05894,14874204102.898132,34715390805.88523,-10893874664.567158
1552,38959095229.28665,-35113496368.21774,53454332147.719604,12322129098.950426,34725705828.71285,-10884910798.472261
1553,35070821671.465385,-34916097596.480515,56374155079.06284,9340007964.388426,34738313416.26533,-10874898380.97081
1554,31171318834.23067,-33868253856.495197,58884562578.08451,5975173843.736156,34753344475.5827,-10864206769.589865
1555,27411908031.60519,-31924210355.000233,60929673176.740746,2285481386.3193808,34770848167.088234,-10853259802.026278
1556,23978405866.804756,-29048608617.668858,62462415757.85976,-1661700234.5684566,34790758390.07664,-10842518000.551037
1557,21105198814.987816,-25230592097.527695,63446508473.39126,-5791036734.675621,34812856237.51405,-10832443490.332926
1558,19089960097.420418,-20512102488.76203,63858095882.56315,-10021279051.613842,34836733273.310684,-10823435832.71219
1559,18299557631.245617,-15040501817.01389,63686895380.80795,-14267715870.853048,34861773919.216354,-10815720679.770649
1560,19139211037.783497,-9153430433.276094,62936741197.62978,-18444879280.505585,34887209087.955826,-10809177551.249681
1561,21927963900.989243,-3471438179.9207172,61625469740.32544,-22469320708.21789,34912346288.57695,-10803152877.54472
1562,26641167672.23356,1124016089.393917,59784154188.16981,-26262263397.550808,34937048571.3826,-10796484966.950153
1563,32685473212.656075,3807520067.6389656,57455756840.61553,-29751951031.03192,34962156997.22078,-10788074187.416262
1564,39077587035.21416,4266233264.58916,54693316976.25637,-32875548589.402527,34989171928.4543,-10777712922.23391
1565,44940501532.55328,2773508607.4621277,51557829724.23358,-35580508857.99485,35019351212.77154,-10766213192.203007
1566,49773610575.226776,-126941826.68645763,48115989769.214355,-37825382024.32264,35053225758.471,-10754820004.756586
1567,53398846529.356155,-3901414762.2539644,44437960738.90106,-39580097178.544655,35090711863.76711,-10744693146.253126
1568,55819495859.70591,-8128013846.687996,40595297754.847946,-40825780902.2559,35131383529.96511,-10736720691.70875
1569,57118703066.661385,-12497913683.846323,36659112504.29497,-41554202746.09168,35174670228.72916,-10731519930.304756
1570,57406662994.70363,-16788384427.044662,32698532627.154526,-41766949043.62368,35219963237.62076,-10729491914.15974
