uur,m1x,m1y,m2x,m2y,Mx,My
56,-259227273.72151524,309772474.5013276,-633176349.149874,-288812546.5193652,119366.9678878966,177085.01201109175
57,-308114567.33097,266673419.66422468,-652046336.7915587,-244997520.8721124,123395.8427574058,180941.8354270972
58,-349521646.40453804,217107072.26085377,-667750530.1529888,-199992211.84772736,126992.64329815077,185072.90588377224
59,-382689002.0017599,162428624.10989577,-680219560.2664849,-154017082.5561579,130119.87311879137,189420.02391341326
60,-407112442.42783296,104044269.98558728,-689398226.6056643,-107295932.16760585,132752.4092410065,193922.67423758574
61,-422529710.7473747,43363011.295479044,-695245524.2432745,-60055165.33795335,134876.87301268362,198520.2753884035
62,-428899359.9669583,-18242452.366001047,-697734679.2052575,-12523171.954913639,136490.63687786236,203154.00444845652
63,-426375181.4532995,-79465505.3870283,-696853464.8234954,35070241.02082221,137600.62899010823,207768.18421788525
64,-415279123.6183011,-139087047.14706448,-692604568.3464878,82494899.52985196,138222.06804950358,212311.26519520258
65,-396075177.3623661,-195989528.27340966,-685005257.2640803,129521276.73158893,138377.22592549553,216736.4604662221
66,-369345175.1604273,-249164845.61079296,-674087154.4955645,175921057.14028874,138094.283087899,221002.10297138596
67,-335767190.71559495,-297717876.5730149,-659896272.1146606,221467779.31282046,137406.31295747403,225071.79557796
68,-296096969.5568479,-340867027.8310437,-642493043.3387272,265937587.46858403,136350.40884742903,228914.41789353194
69,-251152374.95182008,-377942913.46198845,-621952309.3540155,309110022.94202137,134966.95166211572,232504.04404548995
70,-201800593.02474207,-408386084.56994367,-598363268.2903465,350768837.48296803,133299.00648544624,235819.81527070337
71,-148947715.31938833,-431744534.7943809,-571829389.9998951,390702827.6681011,131391.8301859997,238845.80142470257
72,-93530250.49630083,-447671527.5908077,-542468295.2486708,428706692.479002,129292.4689063355,241570.8770474583
73,-36508084.75759786,-455924140.92284405,-510411595.2548649,464581915.7900083,127049.42272597834,243988.6305602731
74,21141603.708214924,-456362801.227385,-475804686.0675756,498137674.6286138,124712.35407811246,246097.3193656503
75,78429979.23148671,-448951974.63596374,-438806491.39042145,529191773.0686024,122331.8160887146,247899.87875888438
76,134362244.73157594,-433762090.71075165,-399589146.8460879,557571600.541401,119958.97653758636,249403.98822371292
77,187943926.46950522,-410972682.5600928,-358337618.25553954,583115112.1938443,117645.31244757623,250622.19441269993
78,238188293.62074885,-380876626.76717323,-315249246.24570537,605671827.6698799,115442.24940663316,251572.0854183972
79,284125477.90734357,-343885246.6037489,-270533209.4073287,625103843.3472128,113400.7188260943,252276.50533004236
80,324813868.4716623,-300533892.5821847,-224409898.3185588,641286851.6233306,111570.60587306312,252763.79107530622
81,359354342.8971765,-251487427.51311383,-177110193.0534559,654111159.3321038,110000.06149428182,253068.00479010597
82,386907834.9042595,-197544815.2234368,-128874637.33330144,663482695.8021821,108734.65480385158,253229.12426903512
83,406716603.75246763,-139641747.54501563,-79952503.27694574,669323999.4667791,107816.34850375143,253293.14164012982
84,418129325.0685131,-78849961.47582707,-30600741.786059506,671575170.3279035,107282.29157768852,253312.0071441835
85,420629732.1614218,-16371636.333418086,18917185.019561514,670194773.9866954,107163.4419178636,253343.34260561157
86,413867974.5993957,46472915.44054565,68332591.20227633,665160681.3683398,107483.05804817165,253449.84093184822
87,397693126.4968065,108266046.66107795,117372974.0577142,656470826.6112955,108255.13371675956,253698.26818513687
88,372184418.4055698,167523548.240869,165763537.9764691,644143863.5811192,109482.88960117935,254157.99882450307
89,337677902.85277086,222736179.154774,213228828.06886068,628219698.4812351,111157.47712826356,254899.0478558335
90,294784596.9406079,272421564.44305503,259494456.5024269,608759872.0163985,113257.0810349096,255989.61887147903
91,244395948.10320178,315184465.7862171,304288874.56892747,585847773.8313546,115746.61733878336,257493.26232206693
92,187672994.88985357,349781534.6623695,347345116.99614036,559588798.3110877,118578.19931541228,259465.82432294823
93,126016781.75198793,375184895.7661432,388402835.40872073,530110703.28926784,121692.47834096232,261952.44537670448
94,61019844.36450288,390638465.21392477,427210890.9359241,497563271.2384055,125020.86140677796,264984.9186325901
95,-5597824.651747093,395700466.94006234,463529223.68254864,462117253.4895368,128488.47726625632,268579.71578397753
96,-72063315.1794551,390266418.6862949,497130586.4796857,423963657.0730982,132017.64038243511,272736.923393237
97,-136628943.34410965,374570155.0159865,527802501.65261286,383312896.8653089,135531.47885196548,277440.216190298
98,-197646292.11114776,349163330.3971249,555349200.826738,340393655.2035417,138957.36966606634,282657.85048693314
99,-253629454.3639793,314876647.4012633,579593458.8136415,295451487.3368569,142229.8685238141,288344.5240261178
100,-303302865.61840093,272768148.4286338,600378288.3868564,248747201.4700979,145292.91795878697,294443.8503160909
101,-345631694.0117642,224064808.73526657,617568468.5457703,200555034.10061795,148101.23883001946,300891.1533788265
102,-379835216.05568767,170103380.57648125,631051879.454947,151160642.08302733,150620.92601981005,307616.3023753359
103,-405385474.38622284,112275279.56585902,640740619.0539851,100858936.36351836,152829.35703042673,314546.3600101582
104,-421994579.0541762,51978721.12058338,646571879.5849504,49951786.244687155,154714.57222245604,321607.89302426635
105,-429594314.3907494,-9420281.814189717,648508566.6431522,-1254373.4695598707,156274.29946835057,328728.8681363293
106,-428311440.4470123,-70617780.84624554,646539648.5143213,-52450997.409581356,157514.78301533,335840.119420585
107,-418441471.1407787,-130393279.02268726,640680229.2432755,-103329909.91832921,158449.54764931745,342876.417486874
108,-400422982.49651325,-187623861.159798,630971344.8236548,-153585773.32737267,159098.19480672304,349777.1968669645
109,-374813802.3201474,-241292518.87636194,617479487.8486152,-202918507.39845634,159485.2940925582,356487.0089713532
110,-342269839.1572931,-290492127.95991445,600295871.6719389,-251035624.69904622,159639.40558945236,362955.7683209462
111,-303526852.56091195,-334426405.9189509,579535450.3693393,-297654449.2802581,159592.24675883065,369138.85371655854
112,-259385143.8482067,-372408982.5898144,555335715.3569674,-342504189.48657435,159378.0024270149,374997.1169208197
113,-210696934.71871117,-403861504.87268144,527855293.2396851,-385327839.86507404,159032.7662874722,380496.8415647873
114,-158356072.75483474,-428311496.596903,497272372.15964997,-425883891.72271675,158594.0962420813,385609.6856920154
115,-103289631.44069946,-445390519.72484225,463782985.40238386,-463947836.57420015,158100.66250732786,390312.6332459384
116,-46450935.60788098,-454833037.15015674,427599180.98144,-499313450.92220765,157591.96568388474,394587.9730441404
117,11186476.0973671,-456476258.04372925,388947103.8699728,-531793852.90327096,157108.10113103708,398423.3182216325
118,68634453.73493122,-450261150.2845868,348065014.1088576,-561222315.9478704,156689.54543416903,401811.67445180943
119,124895911.83696869,-436234730.5876853,305201276.74042445,-587452796.5364361,156376.94013785405,404751.5610650773
120,178971019.4875368,-414553659.46740746,260612519.6374297,-610360123.8916323,156210.84702973417,407247.18502324517
