dag,iox,ioy,eux,euy,Mx,My
740,227722824.6365677,-381612279.8086884,-483043474.3917872,-492344947.97890496,0,0
750,-258999843.59813425,303769049.75371903,-655307044.3510454,240052707.55694687,0,0
760,416064863.1313928,-192198207.90402168,-31963147.97774052,674771033.8480378,0,0
770,-401495039.8419496,-14239041.751577131,610493046.188471,221141770.80732387,0,0
780,434049216.710554,77059665.7034541,370189703.801952,-539973130.4287193,0,0
790,-296804619.63778687,-316470809.4948328,-408562076.8030757,-548602667.1894183,0,0
800,247121627.30024296,323957321.29809487,-681554018.6285421,155139529.41029182,0,0
810,-57015112.43516172,-453514633.95800245,-128279787.82919434,670041315.3170203,0,0
820,-93794788.85402322,384798655.87156135,569463843.4956586,320100473.8078325,0,0
830,201754568.70409593,-402119600.37076664,450104151.8060971,-469330982.89302295,0,0
840,-371901261.7848969,199661923.66153955,-324661518.4062235,-594641760.0748333,0,0
850,382216927.48033565,-170219160.19829538,-695120232.5687001,67399330.26377466,0,0
860,-444986663.97049373,-80133037.17886803,-220502374.30128914,651914618.1407804,0,0
870,358356976.9085347,166761125.95633578,515194990.32277644,410350120.13850594,0,0
880,-328653135.90861493,-315991991.7236306,519536035.1765016,-386540517.75871646,0,0
890,102922941.00286993,397574088.988858,-232553606.35950896,-628971773.442496,0,0
900,-70608784.43203585,-424418650.13662183,-695756253.3568996,-21938596.196279816,0,0
910,-201700183.0000229,395487537.3191988,-307148998.5878452,621336240.4599813,0,0
920,237234197.73926568,-321427197.3234006,449722468.2807169,489897137.38202447,0,0
930,-402633120.44133556,219003174.8054921,576201173.9964846,-293730938.6916865,0,0
940,401150018.26086235,-13855422.341710098,-133842813.52414726,-650134073.6083748,0,0
950,-438688791.17963386,-48043381.46008081,-683230500.6591042,-111585244.92058054,0,0
960,316994699.4068295,295469143.9176666,-386999005.58768743,579272438.3879967,0,0
970,-269294148.41578007,-306390469.63266814,375260835.66675,557331973.8384875,0,0
980,86554994.29250237,448662455.7669182,618339311.3233637,-193565059.16253006,0,0
990,66418083.175318554,-390303458.82613796,-30577594.29730279,-656833139.166198,0,0
1000,-174938598.84663102,414872209.32514083,-657354681.7987846,-200128225.23834714,0,0
1010,356977348.07049406,-224226502.16310334,-459018823.50350434,526666092.17751235,0,0
1020,-370168495.8114153,196201554.22184998,294019829.9424819,611781563.1974988,0,0
1030,448984015.66002613,50642345.107751325,644871278.341016,-89039207.29994166,0,0
1040,-369310365.812409,-141097186.96561664,74752865.7534433,-648103959.8331597,0,0
1050,348803767.76349986,293900786.89422786,-618038799.4246271,-285978511.22225785,0,0
1060,-129986548.4323428,-389046884.90052056,-522287850.28976554,464427236.95050883,0,0
1070,99169778.59968445,419224507.021122,208075216.7452518,652810964.2420573,0,0
1080,174825666.92964262,-407593907.81923103,655455885.3055995,16763908.471321858,0,0
1090,-214281412.60683033,337528409.8718718,179297640.2187205,-623489718.6789335,0,0
1100,387470016.95335084,-244869148.78577024,-565374571.8059124,-367339060.7601792,0,0
1110,-398850086.94704205,41846684.89541769,-575933846.0439898,393452810.14615417,0,0
1120,441383400.1733757,18766151.61564011,119300069.78434473,680305711.6489356,0,0
1130,-335715087.1120286,-273170705.7898584,650439249.1248795,120913862.75934204,0,0
1140,290210215.9797178,287323098.13804996,280005526.04528296,-583190070.5373595,0,0
1150,-115706748.67180412,-441880011.129144,-499741736.22361964,-442208921.917124,0,0
1160,-38727249.327845484,393875095.16052544,-619084642.9544144,314669759.4959619,0,0
1170,147326505.8896651,-425827410.1018993,29349190.458592854,694359676.3108271,0,0
1180,-340425812.74246114,247703185.30242485,630720397.5564506,220814883.01003763,0,0
1190,356365533.3352358,-221316108.50997567,373851756.7301734,-528136510.09542215,0,0
1200,-451023917.48813933,-20962999.25275451,-421924455.6507531,-508436657.44574565,0,0
1210,378437484.61704785,114725432.32605326,-650841871.6629797,229095731.66559887,0,0
1220,-367461523.9969778,-270526489.9129516,-60316846.519205324,695183765.9175481,0,0
1230,156383345.7949406,378679740.3102909,597575144.2310326,314307156.9446129,0,0
1240,-127332998.18983331,-412111785.1069086,458087747.9090953,-459964336.4449735,0,0
