dag,m1x,m1y,m2x,m2y,Mx,My
1209000,-6362809183202717.0,1790849003119478.0,1128550524160867.5,-2128172009847063.5,307192156690.712,54751518715.26906
1210000,-6368072048290717.0,1792330266472478.0,1129483979814951.0,-2129932281052466.0,307446244304.05426,54796805235.3203
1211000,-6373334913378717.0,1793811529825478.0,1130417435468951.0,-2131692552257716.0,307700331917.39655,54842091755.370346
1212000,-6378597778466717.0,1795292793178478.0,1131350891122951.0,-2133452823462803.8,307954419530.73883,54887378275.41603
1213000,-6383860643554717.0,1796774056531478.0,1132284346776855.8,-2135213094667803.8,308208507144.0811,54932664795.45845
1214000,-6389123508642717.0,1798255319884478.0,1133217802430605.8,-2136973365872578.0,308462594757.4234,54977951315.49865
1215000,-6394386373730717.0,1799736583237478.0,1134151258084355.8,-2138733637077289.8,308716682370.7657,55023237835.53344
1216000,-6399649238818717.0,1801217846590478.0,1135084713738086.5,-2140493908281789.8,308970769984.108,55068524355.56821
1217000,-6404912103906717.0,1802699109943478.0,1136018169391586.5,-2142254179486190.2,309224857597.45026,55113810875.59537
1218000,-6410174968994717.0,1804180373296478.0,1136951625045086.5,-2144014450690440.2,309478945210.79254,55159097395.62253
