dag,iox,ioy,eux,euy,Mx,My
880,334924058.4191543,309337514.16185117,123745802.97380854,-635624291.5141381,0,0
890,-110875336.7281923,-395430079.4400534,-595490615.752065,-308346555.3091677,0,0
900,79106029.3525577,422917281.678266,-529102828.84407145,452336448.45209223,0,0
910,193728369.30623713,-399452969.60168254,191380669.4733572,666162645.6004552,0,0
920,-230740470.6603832,326120135.7708286,662370494.2570187,59286018.822151676,0,0
930,398160178.5200718,-227033681.40440342,228136976.67199305,-605176980.0104253,0,0
940,-400791481.76545614,21897443.314294226,-536771667.76490235,-390466886.02889,0,0
950,439564046.27915436,39236095.966453254,-580215512.1212441,377630961.93225056,0,0
960,-322856393.9244379,-289052596.18700004,104024936.54488705,688842217.6217178,0,0
970,275384456.1494491,300928329.61225927,652739462.8699173,159282194.41813922,0,0
980,-95535226.32469337,-446836420.60954595,326743332.67933565,-559508472.3268669,0,0
990,-58577439.30892772,391556937.55641985,-464945714.53761876,-464962627.0082318,0,0
1000,166583419.93150532,-418297056.6953821,-620716079.080215,294750798.7988395,0,0
1010,-352408837.44207895,231340360.9434472,15357730.583728112,698455147.5156667,0,0
1020,366159354.7564358,-203585589.11107317,629352009.3327184,254244743.92796662,0,0
1030,-449909320.8555267,-41628072.78957703,416749244.93266785,-500107001.46356833,0,0
1040,372065708.1721268,133662527.53966933,-381202970.4199145,-529444075.45449436,0,0
1050,-354627612.79283625,-286846644.0234241,-649467877.2636065,204810016.5506611,0,0
1060,137762493.78519076,386361846.8886495,-73327546.3383247,695054190.6426822,0,0
1070,-107557114.4189888,-417151410.65480405,593449705.8073889,342454226.9177579,0,0
1080,-166616472.41894794,411017954.1436611,495826455.92114943,-429021644.9275591,0,0
1090,207469402.00983793,-341757806.7702531,-287343302.54406476,-581653590.6964284,0,0
1100,-382481398.88218856,252590367.1440883,-665328497.3553103,109198821.484097,0,0
1110,397930666.09575194,-49836952.91396916,-160782063.78870142,678714989.369879,0,0
1120,-441670977.21558553,-9910715.37881621,546340110.4039491,422564612.47397375,0,0
1130,341125835.8527717,266383217.06040844,562257344.6460022,-348651770.9687006,0,0
1140,-295913933.34197843,-281445334.36454237,-185756728.11124405,-619683944.4029986,0,0
1150,124545100.42383766,439470720.16751957,-667231121.9327669,9652122.7145973,0,0
1160,30820547.457717337,-394572533.61445475,-245736834.31494975,649535419.3152825,0,0
1170,-138757180.46465564,428696311.3910381,489309729.5783035,493530874.01516205,0,0
1180,335389820.8938495,-254480392.2360119,614958392.5627303,-261521715.86216646,0,0
