uur,vx_c,vx_b,vx_ster
2421,49174.32363535737,-26849.429006577713,292.7709923582105
2422,32791.46530250398,-23379.06810138786,302.5882047824991
2423,18145.841335995538,-19638.578853046576,307.6193683662456
2424,5837.821189099268,-15678.372723815944,307.05420563628627
2425,-4305.948195448524,-11547.956918334165,301.5026543406264
2426,-12619.671371088227,-7295.919677826469,291.8656150811619
2427,-19410.114299170054,-2970.012674775854,278.9885253721562
2428,-24913.263301358544,1382.698767954933,263.58238881780056
2429,-29292.770168971147,5715.644271339074,246.22203367473566
2430,-32646.63182673083,9982.540329092188,227.35964073122906
2431,-35011.674367265965,14137.188766411167,207.33418759185193
2432,-36362.27886168099,18133.304544469902,186.37011166813213
2433,-36601.11444814859,21924.39627582916,164.56093786464095
2434,-35538.84576387767,25463.724120768893,141.83213823616796
2435,-32857.97362819973,28704.361447077084,117.87414945466608
2436,-28054.483679485966,31599.388150435592,92.03373050607692
2437,-20355.84262938977,34102.24381966298,63.16080465510413
2438,-8652.047502674286,36167.26630119737,29.478262423444
2439,8349.468712191294,37750.433681408336,-11.136991634509371
2440,30967.908219589353,38810.32045296442,-59.029943606996085
2441,55042.55858495814,39309.34578287686,-106.31425711984585
2442,69594.24731408291,39215.92632215965,-132.57632397597558
2443,67737.85079097672,38508.466377725126,-125.00411085294778
2444,55310.46129769969,37174.9815834427,-94.28166166347768
2445,40092.98710491453,35209.310699157504,-54.70852139777709
2446,25744.603993982484,32617.434102762807,-13.061527897529878
2447,13256.930718701744,29421.64777245172,28.701489280365713
2448,2646.672353671689,25661.243769266428,70.31915459740328
2449,-6322.860955301414,21392.6682050203,111.89627858175703
2450,-13905.49930394434,16689.098744694667,153.47105693150775
2451,-20307.59825585124,11639.094334133984,194.90394743323895
2452,-25676.189972076754,6344.194870421656,235.8699264477248
2453,-30100.07240683397,915.532260887645,275.8803847280861
2454,-33610.66921642606,-4530.336526903473,314.3091667849674
2455,-36177.56726583408,-9876.04775350092,350.41145296944484
2456,-37695.13933271175,-15008.107825532406,383.3265608280095
2457,-37955.28340149853,-19821.235281555855,412.0532017258897
2458,-36597.98034635312,-24222.038593087196,435.3799716406557
2459,-33027.07535090197,-28131.806960093345,451.7465637891343
2460,-26280.563963845198,-31488.299390928758,459.0152807856246
2461,-14891.969263013336,-34246.49888041063,454.22005923079803
2462,2958.8967224598928,-36378.368551860825,433.84280447520274
2463,27799.067225626164,-37871.73850295455,396.8410768528408
2464,53962.119589494265,-38728.54795909929,353.6661900353089
2465,68571.29216259521,-38962.70627680699,328.12418383995976
2466,66808.03423998517,-38597.84739780192,329.2315575925599
2467,55809.29999384728,-37665.25892247492,344.0226623887716
2468,42345.601121681786,-36202.05436225369,360.24118160028496
2469,29363.269235292024,-34249.55779779308,372.70125706095945
2470,17715.58539295113,-31851.939686435475,380.0900145038816
2471,7488.569167082631,-29055.126984078106,382.5185064407048
2472,-1454.7959859236616,-25905.97607794529,380.5141663329307
2473,-9286.768362286177,-22451.680219395217,374.67133475882247
2474,-16156.113270224912,-18739.377495725243,365.5407445886377
2475,-22171.962065065978,-14815.924772090031,353.5984558489035
2476,-27399.576867248437,-10727.804695519913,339.23750677640714
2477,-31856.711306821766,-6521.135426207707,322.76126589070907
2478,-35505.25647491723,-2241.7554745434236,304.368538217392
2479,-38233.61038381104,2064.6416138418153,284.12187286292027
2480,-39823.01747941919,6352.34631488763,261.8864907911729
2481,-39886.02060186814,10575.468864719041,237.21785147917774
2482,-37756.94709409713,14687.795520979982,209.16072586448985
2483,-32309.414413963103,18642.693127852388,175.91352505143277
2484,-21723.324316742684,22393.10196947327,134.39904758069468
2485,-3571.297026606724,25891.696791854458,80.42278250286432
2486,23063.208071294142,29091.418346271596,12.572258630377036
2487,51142.51393865299,31946.574651840514,-55.918006563431945
2488,66200.8695302253,34411.81037610823,-98.1298362206183
2489,65073.03692825955,36437.5935274557,-107.94083741020704
2490,55499.86062705943,37976.44952491737,-99.33428052170046
2491,43534.26449064702,38986.712298594604,-83.21766560203667
2492,31706.62440954998,39431.67108796786,-64.0375602237045
2493,20798.623956926567,39280.516565617865,-43.05333996242439
2494,10946.019739577916,38510.18444352682,-20.37976556154265
2495,2080.5644370110713,37107.388056398995,4.186880191974616
2496,-5911.836449663867,35070.62508053022,30.865624188095843
2497,-13136.901699855809,32412.007355424783,59.78016273898115
2498,-19673.52828351877,29158.741407323483,90.91618721035489
2499,-25565.96018819489,25354.069640198897,124.10143203448604
2500,-30816.416828892405,21057.48837393317,158.9908135167934
2501,-35372.46929753944,16344.095859447818,195.04699795770767
2502,-39103.2429062918,11302.991737718512,231.505950009034
2503,-41754.95512773795,6034.742632656932,267.30988882985037
2504,-42868.6227163315,648.0327111157121,300.9753272457486
2505,-41630.641481844425,-4744.285360994425,330.34095307574273
2506,-36622.99019625398,-10029.450655671402,352.1324022486576
2507,-25537.841933633666,-15099.033912726643,361.46133626950655
2508,-5552.812394543478,-19852.80997245466,352.53953397297937
2509,23091.39995186121,-24201.933440125595,325.2890461005794
2510,50267.14679212708,-28071.19613262169,297.92787576649107
2511,63199.17097637128,-31400.440264873854,293.64036260183116
2512,62399.023409213274,-34145.31334554316,311.22371829378034
2513,54721.38339935549,-36277.145267489825,337.88048231794136
2514,44742.82417115888,-37781.9751448351,365.0967489542891
2515,34460.61939076995,-38659.07932637697,389.18845347456795
2516,24597.897345548845,-38919.24777554647,408.88661384785786
2517,15361.456473709406,-38582.966186773745,423.9304471268963
2518,6765.874158336343,-37678.62389214183,434.4597073317632
2519,-1237.2579372386435,-36240.837307933565,440.7667402519814
2520,-8707.92959555035,-34308.948922802156,443.1929660053619
2521,-15696.05981488472,-31925.735342190077,442.08140428142644
2522,-22229.913266447093,-29136.33637879638,437.74904761769795
2523,-28305.450257048993,-25987.40093124394,430.46222687506366
2524,-33870.43966905151,-22526.43394534558,420.40350803180036
2525,-38795.95983015094,-18801.321145300182,407.6163955407261
2526,-42822.54922088939,-14860.003085222972,391.90420636329117
2527,-45456.404884247415,-10750.26539291405,372.6375927813147
2528,-45769.812705177894,-6519.604356005702,348.38606222221665
2529,-42043.7831424079,-2215.1096605523635,316.2588738543815
