uur,Io_x,Io_y,Europa_x,Europa_y,Jupiter_x,Jupiter_y
22,-389230670.6692894,204842213.14453152,636438003.6303306,-122032717.21889266,50659.2476813248,-56688.122605950644
23,-361129781.48428786,257638732.64410427,624839592.4266388,-171965129.56981793,50869.731783784475,-60834.25353292757
24,-326240052.79858214,305591477.45124143,609471456.0717527,-220860330.35547328,50856.067789533736,-64778.66842668857
25,-285356242.14698404,347929218.068223,590429367.5491253,-268424431.68893972,50653.23464303626,-68492.50563459375
26,-239332646.36534002,384000014.4338712,567833426.4271533,-314373119.84007525,50298.39799234109,-71952.27509136124
27,-189069119.2109468,413268179.53489804,541826963.9039354,-358433868.951376,49830.2798748042,-75139.65944597346
28,-135499682.73760563,435310891.36993474,512575218.6647643,-400348005.8006447,49288.65625955456,-78041.30240705988
29,-79583265.31958872,449815046.557251,480263807.6203512,-439872598.4630555,48713.95985627674,-80648.61291327962
30,-22296063.333127707,456574780.3285104,445097019.15531355,-476782146.1986122,48146.963821052814,-82957.60569027827
31,35374988.180153444,455489939.3999493,407295959.1545049,-510870052.8429005,47628.52137344105,-84968.79212454006
32,92438152.07945822,446565679.9662723,367096581.7341291,-541949871.2035509,47199.33622472135,-86687.12987596709
33,147902749.50878602,429913264.21380377,324747637.2785066,-569856311.2549975,46899.7386824767,-88122.03486545893
34,200785464.50454676,405752035.6002809,280508570.1106983,-594446010.083668,46769.44212391133,-89287.45475973174
35,250117621.11476278,374412455.5767728,234647396.98461732,-615598066.3891746,46847.254188224586,-90201.9983611902
36,294953969.90984184,336339972.3435156,187438595.68844733,-633214346.7474716,47170.71668201527,-90889.10992477858
37,334383522.30662215,292099356.1765297,139161030.52764645,-647219574.6760813,47775.64818290511,-91377.27092409531
38,367542952.6922627,242378968.10076514,90095938.45731416,-657561216.7322124,48695.56426994705,-91700.20381360542
39,393633031.0034762,187994225.18177277,40524996.30900644,-664209182.3806267,49960.95309143494,-91897.04269361886
40,411938426.90964645,129889289.33393332,-9271513.947280362,-667155356.1816249,51598.38978741326,-92012.42461519214
41,421851010.410676,69135751.71614501,-59016428.513848536,-666412981.9920318,53629.48355467696,-92096.44324117129
42,422896430.1317347,6926843.251759283,-108437303.73029229,-662015919.3891435,56069.66739619563,-92204.39520003459
43,414763253.7941917,-55434471.64528282,-157267890.0732954,-654017792.4830649,58926.864059637825,-92396.24130761554
44,397333299.1217047,-116555185.70781007,-205249474.6177457,-642491050.7528161,62200.09262812318,-92735.70368509562
45,370711000.810975,-174981165.0780769,-252132091.121518,-627525960.608822,65878.11712569586,-93288.93047518948
46,335248843.50522804,-229236149.3383067,-297675599.2852228,-609229545.1334594,69938.2769464874,-94122.68733139947
47,291565209.817912,-277870679.50290734,-341650636.76179457,-587724487.9643288,74345.67101010526,-95302.08260878174
48,240550681.34522322,-319519362.8745302,-383839449.1462382,-563148015.6383001,79052.88222828726,-96887.90077046474
49,183359146.7320459,-352963173.9254142,-424036604.47322917,-535650770.9765607,84000.41402392904,-98933.69902771439
50,121381206.38713503,-377191817.8583749,-462049599.70955896,-505395688.3206663,89117.95723027745,-101482.90098351474
51,56199332.63841952,-391459989.8904133,-497699367.3770201,-472556879.6751824,94326.51304507889,-104566.17726479814
52,-10473205.126092851,-395331102.7330485,-530820690.8120824,-437318539.1109667,99541.27768651904,-108199.41543373885
53,-76865026.64716837,-388703016.0161206,-561262536.6994292,-399873871.1599988,104675.07138091874,-112382.53627252673
54,-141224292.78027028,-371812444.74506944,-588888313.4515432,-360424047.4016818,109641.99916327877,-117099.31271001372
55,-201893813.10118315,-345217629.2639238,-613576063.8027911,-319177194.00475115,114360.990276836,-122318.2109689947
56,-257376639.3805659,-309761831.07440495,-635218599.7236195,-276347411.6468,118758.8883833718,-127994.13322102113
57,-306386947.85909086,-266522569.25976622,-653723587.5533053,-232153828.0009066,122772.84821238731,-134070.83045816384
58,-347883502.1358362,-216752753.29173285,-669013591.235126,-186819681.94671005,126351.91140247871,-140483.69591495924
59,-381085547.004814,-161819889.60583064,-681026081.756128,-140571438.09535426,129457.75469663471,-147162.6483713228
60,-405473066.8833901,-103148572.03827974,-689713420.9343308,-93637930.57266465,132064.70169375735,-154034.86017855658
61,-420774652.4612705,-42169933.07402141,-695042826.2389941,-46249536.46412996,134159.15096913814,-161027.15696270287
62,-426946723.37079793,19719926.173695758,-696996318.7523863,1362619.4884272143,135738.59698697517,-168067.9940026382
63,-424147709.32235426,81191963.19783893,-695570649.9472078,48967429.67300702,136810.41322487028,-175088.98275734764
64,-412710233.01370674,141007190.0445135,-690777200.9220619,96334545.24709456,137390.5405662337,-182025.99179964623
65,-393113593.93897736,198031815.76988512,-682641854.1162435,143235106.85811117,137502.18915692254,-188819.87789216975
66,-365958099.5146076,251246028.19777864,-671204845.4968587,189442473.91178674,137174.6267019306,-195416.91769508278
67,-331942136.66465855,299747962.70228636,-656520605.905138,234732955.31246,136442.0954526739,-201769.01301463874
68,-291842366.88843846,342754293.10170615,-638657594.9259335,278886541.2355821,135342.8759948271,-207833.73711596822
69,-246497061.38872793,379598679.3285561,-617698125.5805674,321687636.1347619,133918.49857388996,-213574.28020796317
70,-196792349.64656603,409729077.3934423,-593738175.888695,362925794.899069,132213.0911941324,-218959.3414679033
71,-143651007.06431782,432704695.76032317,-566887182.9233902,402396465.04061365,130272.84676219156,-223963.00457886475
72,-88023326.82266605,448193186.64799845,-537267815.0498989,439901737.86823803,128145.58776110246,-228564.6245498954
73,-30879583.353275813,455968496.5300091,-505015717.993308,475251111.1745596,125880.40516319103,-232748.7458489195
74,26796419.448033236,455909665.18441087,-470279230.1324057,508262265.31968576,123527.34761212206,-236505.0655127445
75,84013226.73993209,448000750.7213138,-433219062.0387664,538761853.8581902,121137.13667848939,-239828.44961284005
76,139777553.21336666,432331960.50984704,-394007934.8557327,566586309.056469,118760.88380589554,-242719.0068467434
77,193100568.1779992,409101975.14492345,-352830171.7025422,591582661.7816684,116449.78420482915,-245182.2186368035
78,243005179.53832626,378621354.3535167,-309881235.9355403,613609374.3004526,114254.76239534085,-247229.12047097026
79,288534863.30091935,341316799.80762666,-265367209.8314228,632537183.4978611,112226.04351109023,-248876.52383272603
80,328764590.3466141,297735910.5170511,-219504207.1023573,648249950.9102238,110412.62423376922,-250147.2614839132
81,362814386.6813137,248551893.8577444,-172517712.63409606,660645514.7637522,108861.61795680514,-251070.43071051416
